Step,Susceptible,Infected,Removed,R0,Viral Load Tree,Incidence,Recovery,Days,Incidence Sum,Incidence Days
892,9425,527,48,5,"{(1154, 3693): (132.96, 52.63, 5278.710695693875, 891, 104), (8926, 4693): (243.44, 97.55, 9566.475462906961, 891, 89), (455, 5800): (104.7, 219.69, 22052.825150131965, 891, 69), (1680, 8687): (114.24, 274.09, 27645.71931930408, 891, 64), (3815, 4420): (130.81, 49.1, 5001.363553989963, 891, 106), (8461, 2957): (308.84, 60.56, 5934.409735392041, 891, 101), (9737, 6940): (57.72, 208.13, 20785.52885912019, 891, 70), (5216, 6159): (170.29, 125.45, 12686.183324784746, 891, 83)}",8.0,0.0,29.733333333333334,8.0,0
893,9422,530,48,5,"{(6136, 1105): (205.8, 135.05, 13325.678007549326, 892, 81), (157, 1196): (62.42, 111.41, 11106.418480919905, 892, 85), (8547, 3868): (207.69, 130.33, 12976.322930699023, 892, 82)}",3.0,0.0,29.766666666666666,3.0,0
894,9417,533,50,5,"{(4886, 982): (170.0, 236.95, 23735.7787857876, 893, 67), (3345, 1808): (299.67, 318.11, 31395.46055139953, 893, 60), (7160, 1801): (73.0, 75.38, 7523.198978984126, 893, 95), (6174, 2913): (158.25, 286.7, 28726.37757309357, 893, 63), (5228, 8775): (59.58, 78.94, 7937.9097573562785, 893, 94)}",5.0,2.0,29.8,5.0,0
895,9413,536,51,5,"{(623, 5616): (129.4, 98.25, 9872.048803287085, 894, 89), (2182, 7773): (284.87, 85.14, 8532.67549511225, 894, 92), (4996, 354): (201.51, 96.55, 9655.40201480166, 894, 89), (1616, 4926): (199.07, 247.58, 24542.94450793934, 894, 66)}",4.0,1.0,29.833333333333332,4.0,0
896,9409,540,51,5,"{(9507, 9414): (202.97, 117.77, 11689.77524882403, 895, 84), (7433, 5759): (180.01, 204.61, 20398.90190052813, 895, 71), (2820, 5351): (234.57, 239.4, 24062.163259960224, 895, 67), (8729, 58): (236.26, 82.66, 8347.743079252079, 895, 93)}",4.0,0.0,29.866666666666667,4.0,0
897,9401,548,51,5,"{(250, 4191): (174.84, 274.56, 27750.17764913573, 896, 64), (1557, 4321): (164.78, 155.26, 15367.891632990786, 896, 77), (6573, 6723): (276.13, 68.64, 6851.980249300022, 896, 98), (4173, 4833): (95.52, 60.94, 6074.336952102644, 896, 101), (3677, 2785): (61.7, 245.62, 24576.430958408517, 896, 66), (5325, 1839): (292.26, 250.37, 25009.446114063976, 896, 66), (2277, 1132): (177.5, 208.12, 20656.639868741215, 896, 70), (8263, 8556): (228.11, 68.38, 6705.11867619759, 896, 98)}",8.0,0.0,29.9,8.0,0
898,9398,551,51,5,"{(39, 2367): (180.9, 287.65, 28946.96849791678, 897, 63), (7326, 750): (158.63, 77.93, 7784.422237851684, 897, 94), (1173, 7289): (184.14, 282.63, 28272.67202668704, 897, 63)}",3.0,0.0,29.933333333333334,3.0,0
899,9395,553,52,5,"{(5950, 3710): (231.52, 253.99, 25263.529299490645, 898, 66), (1173, 2136): (184.14, 282.28, 28516.562600847417, 898, 63), (9737, 3378): (57.72, 228.15, 22991.08971584131, 898, 68)}",3.0,1.0,29.966666666666665,3.0,0
900,9394,553,53,5,"{(9766, 4086): (284.13, 78.34, 7749.306576228634, 899, 94)}",1.0,1.0,30.0,1.0,0
901,9390,556,54,5,"{(4797, 883): (57.87, 244.52, 24602.053587943217, 900, 66), (6573, 4239): (276.13, 79.53, 7987.140762069276, 900, 94), (1900, 5026): (89.05, 263.95, 26114.211122641078, 900, 65), (4712, 6088): (124.4, 190.1, 18999.070489593945, 900, 72)}",4.0,1.0,30.033333333333335,4.0,0
902,9385,561,54,5,"{(180, 6483): (81.26, 104.28, 10411.63082016826, 901, 87), (8950, 1624): (75.69, 141.81, 13994.953546632109, 901, 80), (5184, 8606): (200.08, 190.61, 19185.20533808459, 901, 72), (1590, 67): (123.83, 260.65, 26101.662207919857, 901, 65), (9824, 1297): (242.63, 169.11, 17104.155969942156, 901, 75)}",5.0,0.0,30.066666666666666,5.0,0
903,9380,566,54,5,"{(2528, 788): (182.29, 275.06, 27611.20051645829, 902, 64), (7582, 9774): (258.04, 188.01, 18923.61691685813, 902, 73), (5911, 9805): (271.72, 133.88, 13379.592897518134, 902, 81), (3928, 4250): (249.92, 113.76, 11221.435979579785, 902, 85), (6015, 5919): (209.75, 52.05, 5288.872739646408, 902, 105)}",5.0,0.0,30.1,5.0,0
904,9378,568,54,5,"{(1418, 3481): (95.39, 182.43, 18349.48772664323, 903, 73), (266, 6211): (103.02, 270.84, 26918.774205526086, 903, 64)}",2.0,0.0,30.133333333333333,2.0,0
905,9374,572,54,5,"{(3847, 1723): (236.2, 276.11, 27582.43751582198, 904, 64), (7326, 1755): (158.63, 99.27, 9963.244574462422, 904, 88), (2820, 9492): (234.57, 280.49, 27860.6251443312, 904, 63), (5184, 4967): (200.08, 174.59, 17617.27210184738, 904, 74)}",4.0,0.0,30.166666666666668,4.0,0
906,9371,574,55,5,"{(1890, 2217): (50.65, 53.39, 5330.153303987356, 905, 104), (98, 7524): (92.36, 127.38, 12698.512568005768, 905, 82), (4173, 1478): (95.52, 82.23, 8355.121936009471, 905, 93)}",3.0,1.0,30.2,3.0,0
